,zipcode,count,amusement arcade,amusement device permanent,amusement device portable,amusement device temporary,auction house premises,auctioneer,bingo game operator,booting company,cabaret,catering establishment,cigarette retail dealer,commercial lessor,dealer in products,debt collection agency,electronic & appliance service,electronics store,employment agency,games of chance,gaming cafe,garage,garage and parking lot,general vendor,general vendor distributor,home improvement contractor,home improvement salesperson,horse drawn cab owner,horse drawn driver,laundries,laundry,laundry jobber,locksmith,locksmith apprentice,motion picture projectionist,newsstand,parking lot,pawnbroker,pedicab business,pedicab driver,pool or billiard room,process server individual,process serving agency,scale dealer repairer,scrap metal processor,secondhand dealer - auto,secondhand dealer - firearms,secondhand dealer - general,sidewalk cafe,sightseeing bus,special sale,stoop line stand,storage warehouse,ticket seller,tow truck company,tow truck driver,tow truck exemption
22,10025,419,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,3.0,0.0,6.0,19.0,2.0,0.0,0.0,23.0,1.0,24.0,0.0,51.0,45.0,0.0,1.0,2.0,10.0,38.0,12.0,0.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,48.0,0.0,0.0,18.0,0.0,6.0,0.0,13.0,0.0
23,10026,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,3.0,0.0,7.0,11.0,0.0,0.0,0.0,9.0,0.0,97.0,0.0,20.0,18.0,0.0,0.0,0.0,7.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,18.0,1.0,2.0,0.0
24,10027,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,0.0,2.0,0.0,14.0,31.0,0.0,0.0,0.0,11.0,1.0,55.0,0.0,25.0,24.0,0.0,1.0,0.0,8.0,11.0,10.0,0.0,0.0,7.0,4.0,3.0,5.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,15.0,0.0,0.0,6.0,0.0,19.0,1.0,5.0,0.0
25,10028,307,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0,0.0,3.0,0.0,11.0,9.0,1.0,0.0,0.0,48.0,0.0,2.0,0.0,23.0,22.0,0.0,2.0,2.0,11.0,50.0,12.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0
26,10029,452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,0.0,9.0,35.0,3.0,0.0,0.0,11.0,0.0,54.0,0.0,31.0,26.0,0.0,1.0,3.0,23.0,12.0,23.0,0.0,3.0,1.0,6.0,8.0,2.0,7.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,39.0,3.0,0.0,0.0,19.0,0.0,19.0,2.0,19.0,0.0
27,10030,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,54.0,0.0,8.0,6.0,0.0,0.0,0.0,7.0,5.0,9.0,0.0,0.0,0.0,0.0,2.0,8.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,4.0,0.0
28,10031,319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,4.0,0.0,10.0,23.0,0.0,0.0,0.0,4.0,0.0,17.0,0.0,15.0,18.0,0.0,4.0,1.0,14.0,10.0,10.0,0.0,2.0,1.0,2.0,7.0,7.0,33.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,14.0,1.0,23.0,0.0,4.0,0.0
29,10032,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,1.0,9.0,17.0,0.0,1.0,0.0,6.0,1.0,14.0,0.0,23.0,25.0,0.0,0.0,1.0,13.0,8.0,5.0,0.0,1.0,3.0,3.0,1.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,6.0,0.0,0.0,18.0,1.0,23.0,0.0,5.0,0.0
30,10033,292,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0.0,3.0,0.0,12.0,35.0,0.0,1.0,0.0,6.0,1.0,13.0,0.0,20.0,14.0,0.0,1.0,0.0,11.0,9.0,12.0,0.0,0.0,2.0,2.0,11.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,0.0,1.0,22.0,0.0,9.0,1.0,5.0,0.0
31,10034,225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,0.0,11.0,19.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,15.0,7.0,0.0,0.0,0.0,9.0,4.0,12.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,29.0,14.0,0.0,0.0,10.0,0.0,5.0,4.0,8.0,0.0
