FID,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
39,10451,0,Bronx,44140,28944106.52,NY,Bronx,36,005,http://www.usps.com/,0,0
40,10473,0,Bronx,58284,59522354.54,NY,Bronx,36,005,http://www.usps.com/,0,0
41,10030,0,New York,26720,7757661.455,NY,New York,36,061,http://www.usps.com/,0,0
42,10027,0,New York,58639,24695278.5,NY,New York,36,061,http://www.usps.com/,0,0
43,10474,0,Bronx,12281,40614090.19,NY,Bronx,36,005,http://www.usps.com/,0,0
44,10455,0,Bronx,39834,19846918.84,NY,Bronx,36,005,http://www.usps.com/,0,0
45,10037,0,New York,16931,7188980.953,NY,New York,36,061,http://www.usps.com/,0,0
46,10024,0,New York,58521,22877335.46,NY,New York,36,061,http://www.usps.com/,0,0
47,10454,0,Bronx,37466,31063613.33,NY,Bronx,36,005,http://www.usps.com/,0,0
48,10026,0,New York,34313,11092681.49,NY,New York,36,061,http://www.usps.com/,0,0
49,10035,0,New York,34884,15445657.33,NY,New York,36,061,http://www.usps.com/,0,0
50,10048,0,New York,0,972788.424,NY,New York,36,061,http://www.usps.com/,0,0
51,10025,0,New York,96054,19631043.82,NY,New York,36,061,http://www.usps.com/,0,0
52,11357,0,Whitestone,38944,77359110.61,NY,Queens,36,081,http://www.usps.com/,0,0
53,10029,0,New York,77503,22963435.68,NY,New York,36,061,http://www.usps.com/,0,0
54,00083,0,Central Park,25,38300990.4,NY,New York,36,061,http://www.usps.com/,0,0
55,11356,0,College Point,23379,43321159.27,NY,Queens,36,081,http://www.usps.com/,0,0
56,11359,0,Bayside,0,6567982.085,NY,Queens,36,081,http://www.usps.com/,0,0
57,11360,0,Bayside,18973,38834824.17,NY,Queens,36,081,http://www.usps.com/,0,0
58,11105,0,Astoria,36906,48795608.08,NY,Queens,36,081,http://www.usps.com/,0,0
59,10128,0,New York,55748,11011681.56,NY,New York,36,061,http://www.usps.com/,0,0
60,10023,0,New York,62800,15212712.68,NY,New York,36,061,http://www.usps.com/,0,0
61,11363,0,Little Neck,7060,24242790.02,NY,Queens,36,081,http://www.usps.com/,0,0
62,10028,0,New York,47530,9842046.48,NY,New York,36,061,http://www.usps.com/,0,0
63,11354,0,Flushing,58525,61985147.45,NY,Queens,36,081,http://www.usps.com/,0,0
64,11102,0,Astoria,33944,19116258.44,NY,Queens,36,081,http://www.usps.com/,0,0
65,11370,0,East Elmhurst,40591,23600231.49,NY,Queens,36,081,http://www.usps.com/,0,0
66,10021,0,New York,45299,10495133.41,NY,New York,36,061,http://www.usps.com/,0,0
67,11358,0,Flushing,37743,54622541.09,NY,Queens,36,081,http://www.usps.com/,0,0
68,11362,0,Little Neck,17707,54680551.22,NY,Queens,36,081,http://www.usps.com/,0,0
69,10044,0,New York,11661,6296113.269,NY,New York,36,061,http://www.usps.com/,0,0
70,11369,0,East Elmhurst,38116,30060493.25,NY,Queens,36,081,http://www.usps.com/,0,0
71,11103,0,Astoria,38234,20222394.63,NY,Queens,36,081,http://www.usps.com/,0,0
72,11106,0,Astoria,38665,23866112.73,NY,Queens,36,081,http://www.usps.com/,0,0
73,11368,0,Corona,109069,72489663.28,NY,Queens,36,081,http://www.usps.com/,0,0
74,11377,0,Woodside,90852,71832387.49,NY,Queens,36,081,http://www.usps.com/,0,0
75,11355,0,Flushing,82809,49383079.08,NY,Queens,36,081,http://www.usps.com/,0,0
76,11101,0,Long Island City,26254,78962088.74,NY,Queens,36,081,http://www.usps.com/,0,0
77,11364,0,Oakland Gardens,33937,84259665.05,NY,Queens,36,081,http://www.usps.com/,0,0
78,10018,0,New York,5503,10705796.48,NY,New York,36,061,http://www.usps.com/,0,0
79,10020,0,New York,0,697297.0224,NY,New York,36,061,http://www.usps.com/,0,0
80,11005,0,Floral Park,3533,9075527.404,NY,Queens,36,081,http://www.usps.com/,0,0
81,10017,0,New York,15918,9794383.24,NY,New York,36,061,http://www.usps.com/,0,0
82,10001,0,New York,22413,17794940.77,NY,New York,36,061,http://www.usps.com/,0,0
